FID,feb_ssh
vbl_ssh_allreg_feb.60425,2.3599999
vbl_ssh_allreg_feb.60426,2.44000006
vbl_ssh_allreg_feb.60427,2.50999999
vbl_ssh_allreg_feb.60428,2.56999993
vbl_ssh_allreg_feb.60429,2.61999989
vbl_ssh_allreg_feb.60430,2.67000008
vbl_ssh_allreg_feb.60431,2.70000005
vbl_ssh_allreg_feb.60432,2.73000002
vbl_ssh_allreg_feb.60433,2.79999995
vbl_ssh_allreg_feb.60434,2.8499999
vbl_ssh_allreg_feb.60435,2.86999989
vbl_ssh_allreg_feb.60436,2.88000011
vbl_ssh_allreg_feb.60437,2.93000007
vbl_ssh_allreg_feb.60438,2.96000004
vbl_ssh_allreg_feb.60439,2.96000004
vbl_ssh_allreg_feb.60440,3.00999999
vbl_ssh_allreg_feb.60441,3
vbl_ssh_allreg_feb.60442,3.01999998
vbl_ssh_allreg_feb.60443,3.04999995
vbl_ssh_allreg_feb.60444,3.07999992
vbl_ssh_allreg_feb.60445,3.1099999
vbl_ssh_allreg_feb.60446,3.1400001
vbl_ssh_allreg_feb.60447,3.16000009
vbl_ssh_allreg_feb.60448,3.18000007
vbl_ssh_allreg_feb.60449,3.20000005
vbl_ssh_allreg_feb.60450,3.22000003
vbl_ssh_allreg_feb.60451,3.25
vbl_ssh_allreg_feb.60452,3.25999999
vbl_ssh_allreg_feb.60453,3.27999997
vbl_ssh_allreg_feb.60454,3.29999995
vbl_ssh_allreg_feb.60455,3.30999994
vbl_ssh_allreg_feb.60456,3.31999993
vbl_ssh_allreg_feb.60457,3.32999992
vbl_ssh_allreg_feb.60458,3.33999991
vbl_ssh_allreg_feb.60459,3.33999991
vbl_ssh_allreg_feb.60460,3.3499999
vbl_ssh_allreg_feb.60461,3.3599999
vbl_ssh_allreg_feb.60462,3.36999989
vbl_ssh_allreg_feb.60463,3.36999989
vbl_ssh_allreg_feb.60464,3.36999989
vbl_ssh_allreg_feb.60465,0.72000003
vbl_ssh_allreg_feb.60466,0.82999998
vbl_ssh_allreg_feb.60467,1.00999999
vbl_ssh_allreg_feb.60468,1.14999998
vbl_ssh_allreg_feb.60469,1.27999997
vbl_ssh_allreg_feb.60470,1.41999996
vbl_ssh_allreg_feb.60471,1.55999994
vbl_ssh_allreg_feb.60472,1.77999997
vbl_ssh_allreg_feb.60473,1.92999995
vbl_ssh_allreg_feb.60474,2.03999996
vbl_ssh_allreg_feb.60475,2.1400001
vbl_ssh_allreg_feb.60476,2.23000002
vbl_ssh_allreg_feb.60477,2.30999994
vbl_ssh_allreg_feb.60478,2.3900001
vbl_ssh_allreg_feb.60479,2.46000004
vbl_ssh_allreg_feb.60480,2.51999998
vbl_ssh_allreg_feb.60481,2.57999992
vbl_ssh_allreg_feb.60482,2.61999989
vbl_ssh_allreg_feb.60483,2.66000009
vbl_ssh_allreg_feb.60484,2.70000005
vbl_ssh_allreg_feb.60485,2.75999999
vbl_ssh_allreg_feb.60486,2.79999995
vbl_ssh_allreg_feb.60487,2.79999995
vbl_ssh_allreg_feb.60488,2.76999998
vbl_ssh_allreg_feb.60489,2.8499999
vbl_ssh_allreg_feb.60490,2.91000009
vbl_ssh_allreg_feb.60491,2.94000006
vbl_ssh_allreg_feb.60492,3.00999999
vbl_ssh_allreg_feb.60493,3.00999999
vbl_ssh_allreg_feb.35,3.94000006
vbl_ssh_allreg_feb.60494,3.00999999
vbl_ssh_allreg_feb.60495,3.01999998
vbl_ssh_allreg_feb.60496,3.03999996
vbl_ssh_allreg_feb.60497,3.06999993
vbl_ssh_allreg_feb.60498,3.08999991
vbl_ssh_allreg_feb.60499,3.11999989
vbl_ssh_allreg_feb.60500,3.13000011
vbl_ssh_allreg_feb.60501,3.1500001
vbl_ssh_allreg_feb.60502,3.18000007
vbl_ssh_allreg_feb.60503,3.21000004
vbl_ssh_allreg_feb.60504,3.23000002
vbl_ssh_allreg_feb.60505,3.25
vbl_ssh_allreg_feb.60506,3.26999998
vbl_ssh_allreg_feb.60507,3.27999997
vbl_ssh_allreg_feb.60508,3.28999996
vbl_ssh_allreg_feb.60509,3.29999995
vbl_ssh_allreg_feb.60510,3.30999994
vbl_ssh_allreg_feb.60511,3.31999993
vbl_ssh_allreg_feb.60512,3.32999992
vbl_ssh_allreg_feb.60513,3.32999992
vbl_ssh_allreg_feb.60514,3.33999991
vbl_ssh_allreg_feb.60515,3.3499999
vbl_ssh_allreg_feb.60516,3.3599999
vbl_ssh_allreg_feb.60517,3.3499999
vbl_ssh_allreg_feb.60518,3.3599999
vbl_ssh_allreg_feb.60519,0.66000003
vbl_ssh_allreg_feb.60520,0.76999998
vbl_ssh_allreg_feb.60521,0.89999998
vbl_ssh_allreg_feb.60522,0.93000001
vbl_ssh_allreg_feb.60523,0.87
vbl_ssh_allreg_feb.60524,1.51999998
vbl_ssh_allreg_feb.60525,1.66999996
vbl_ssh_allreg_feb.60526,1.86000001
vbl_ssh_allreg_feb.60527,1.98000002
vbl_ssh_allreg_feb.60528,2.07999992
vbl_ssh_allreg_feb.60529,2.17000008
vbl_ssh_allreg_feb.60530,2.25999999
vbl_ssh_allreg_feb.60531,2.33999991
vbl_ssh_allreg_feb.60532,2.41000009
vbl_ssh_allreg_feb.60533,2.47000003
vbl_ssh_allreg_feb.60534,2.52999997
vbl_ssh_allreg_feb.60535,2.57999992
