FID,jan_ssh
vbl_ssh_allreg_jan.60425,2.46000004
vbl_ssh_allreg_jan.60426,2.53999996
vbl_ssh_allreg_jan.60427,2.5999999
vbl_ssh_allreg_jan.60428,2.66000009
vbl_ssh_allreg_jan.60429,2.71000004
vbl_ssh_allreg_jan.60430,2.75999999
vbl_ssh_allreg_jan.60431,2.78999996
vbl_ssh_allreg_jan.60432,2.80999994
vbl_ssh_allreg_jan.60433,2.86999989
vbl_ssh_allreg_jan.60434,2.93000007
vbl_ssh_allreg_jan.60435,2.95000005
vbl_ssh_allreg_jan.60436,2.96000004
vbl_ssh_allreg_jan.60437,3.01999998
vbl_ssh_allreg_jan.60438,3.03999996
vbl_ssh_allreg_jan.60439,3.02999997
vbl_ssh_allreg_jan.60440,3.07999992
vbl_ssh_allreg_jan.60441,3.08999991
vbl_ssh_allreg_jan.60442,3.1099999
vbl_ssh_allreg_jan.60443,3.1400001
vbl_ssh_allreg_jan.60444,3.17000008
vbl_ssh_allreg_jan.60445,3.20000005
vbl_ssh_allreg_jan.60446,3.23000002
vbl_ssh_allreg_jan.60447,3.25
vbl_ssh_allreg_jan.60448,3.25999999
vbl_ssh_allreg_jan.60449,3.28999996
vbl_ssh_allreg_jan.60450,3.30999994
vbl_ssh_allreg_jan.60451,3.33999991
vbl_ssh_allreg_jan.60452,3.3599999
vbl_ssh_allreg_jan.60453,3.36999989
vbl_ssh_allreg_jan.60454,3.3900001
vbl_ssh_allreg_jan.60455,3.4000001
vbl_ssh_allreg_jan.60456,3.41000009
vbl_ssh_allreg_jan.60457,3.42000008
vbl_ssh_allreg_jan.60458,3.43000007
vbl_ssh_allreg_jan.60459,3.44000006
vbl_ssh_allreg_jan.60460,3.45000005
vbl_ssh_allreg_jan.60461,3.46000004
vbl_ssh_allreg_jan.60462,3.47000003
vbl_ssh_allreg_jan.60463,3.47000003
vbl_ssh_allreg_jan.60464,3.48000002
vbl_ssh_allreg_jan.60465,0.75
vbl_ssh_allreg_jan.60466,0.87
vbl_ssh_allreg_jan.60467,1.05999994
vbl_ssh_allreg_jan.60468,1.21000004
vbl_ssh_allreg_jan.60469,1.35000002
vbl_ssh_allreg_jan.60470,1.5
vbl_ssh_allreg_jan.60471,1.65999997
vbl_ssh_allreg_jan.60472,1.88
vbl_ssh_allreg_jan.60473,2.02999997
vbl_ssh_allreg_jan.60474,2.1400001
vbl_ssh_allreg_jan.60475,2.24000001
vbl_ssh_allreg_jan.60476,2.32999992
vbl_ssh_allreg_jan.60477,2.41000009
vbl_ssh_allreg_jan.60478,2.48000002
vbl_ssh_allreg_jan.60479,2.54999995
vbl_ssh_allreg_jan.60480,2.6099999
vbl_ssh_allreg_jan.60481,2.67000008
vbl_ssh_allreg_jan.60482,2.71000004
vbl_ssh_allreg_jan.60483,2.74000001
vbl_ssh_allreg_jan.60484,2.77999997
vbl_ssh_allreg_jan.60485,2.83999991
vbl_ssh_allreg_jan.60486,2.88000011
vbl_ssh_allreg_jan.60487,2.88000011
vbl_ssh_allreg_jan.60488,2.8499999
vbl_ssh_allreg_jan.60489,2.93000007
vbl_ssh_allreg_jan.60490,2.99000001
vbl_ssh_allreg_jan.60491,3.01999998
vbl_ssh_allreg_jan.60492,3.07999992
vbl_ssh_allreg_jan.60493,3.0999999
vbl_ssh_allreg_jan.35,3.88000011
vbl_ssh_allreg_jan.60494,3.0999999
vbl_ssh_allreg_jan.60495,3.1099999
vbl_ssh_allreg_jan.60496,3.13000011
vbl_ssh_allreg_jan.60497,3.16000009
vbl_ssh_allreg_jan.60498,3.19000006
vbl_ssh_allreg_jan.60499,3.21000004
vbl_ssh_allreg_jan.60500,3.22000003
vbl_ssh_allreg_jan.60501,3.24000001
vbl_ssh_allreg_jan.60502,3.26999998
vbl_ssh_allreg_jan.60503,3.29999995
vbl_ssh_allreg_jan.60504,3.31999993
vbl_ssh_allreg_jan.60505,3.3499999
vbl_ssh_allreg_jan.60506,3.3599999
vbl_ssh_allreg_jan.60507,3.38000011
vbl_ssh_allreg_jan.60508,3.3900001
vbl_ssh_allreg_jan.60509,3.4000001
vbl_ssh_allreg_jan.60510,3.41000009
vbl_ssh_allreg_jan.60511,3.42000008
vbl_ssh_allreg_jan.60512,3.43000007
vbl_ssh_allreg_jan.60513,3.44000006
vbl_ssh_allreg_jan.60514,3.45000005
vbl_ssh_allreg_jan.60515,3.46000004
vbl_ssh_allreg_jan.60516,3.47000003
vbl_ssh_allreg_jan.60517,3.47000003
vbl_ssh_allreg_jan.60518,3.47000003
vbl_ssh_allreg_jan.60519,0.67000002
vbl_ssh_allreg_jan.60520,0.80000001
vbl_ssh_allreg_jan.60521,0.93000001
vbl_ssh_allreg_jan.60522,0.97000003
vbl_ssh_allreg_jan.60523,0.91000003
vbl_ssh_allreg_jan.60524,1.61000001
vbl_ssh_allreg_jan.60525,1.75
vbl_ssh_allreg_jan.60526,1.95000005
vbl_ssh_allreg_jan.60527,2.07999992
vbl_ssh_allreg_jan.60528,2.17000008
vbl_ssh_allreg_jan.60529,2.26999998
vbl_ssh_allreg_jan.60530,2.3499999
vbl_ssh_allreg_jan.60531,2.43000007
vbl_ssh_allreg_jan.60532,2.5
vbl_ssh_allreg_jan.60533,2.55999994
vbl_ssh_allreg_jan.60534,2.61999989
vbl_ssh_allreg_jan.60535,2.67000008
vbl_ssh_allreg_jan.60536,2.71000004
vbl_ssh_allreg_jan.60537,2.75
vbl_ssh_allreg_jan.60538,2.80999994
vbl_ssh_allreg_jan.60539,2.86999989
vbl_ssh_allreg_jan.60540,2.8900001
vbl_ssh_allreg_jan.60541,2.88000011
vbl_ssh_allreg_jan.60542,2.92000008
vbl_ssh_allreg_jan.60543,2.95000005
vbl_ssh_allreg_jan.60544,2.98000002
vbl_ssh_allreg_jan.60545,3.04999995
vbl_ssh_allreg_jan.60546,3.07999992
vbl_ssh_allreg_jan.60547,3.08999991
vbl_ssh_allreg_jan.60548,3.08999991
vbl_ssh_allreg_jan.60549,3.0999999
vbl_ssh_allreg_jan.60550,3.11999989
vbl_ssh_allreg_jan.60551,3.1400001
vbl_ssh_allreg_jan.60552,3.16000009
vbl_ssh_allreg_jan.60553,3.16000009
vbl_ssh_allreg_jan.60554,3.19000006
vbl_ssh_allreg_jan.60555,3.23000002
vbl_ssh_allreg_jan.60556,3.26999998
vbl_ssh_allreg_jan.60557,3.28999996
vbl_ssh_allreg_jan.60558,3.31999993
vbl_ssh_allreg_jan.60559,3.32999992
vbl_ssh_allreg_jan.60560,3.3499999
vbl_ssh_allreg_jan.60561,3.3599999
vbl_ssh_allreg_jan.60562,3.38000011
vbl_ssh_allreg_jan.36,3.8900001
vbl_ssh_allreg_jan.60563,3.3900001
vbl_ssh_allreg_jan.60564,3.4000001
vbl_ssh_allreg_jan.60565,3.41000009
vbl_ssh_allreg_jan.60566,3.42000008
vbl_ssh_allreg_jan.60567,3.42000008
vbl_ssh_allreg_jan.60568,3.43000007
vbl_ssh_allreg_jan.60569,3.44000006
vbl_ssh_allreg_jan.60570,3.45000005
vbl_ssh_allreg_jan.60571,3.46000004
vbl_ssh_allreg_jan.60572,3.46000004
vbl_ssh_allreg_jan.60573,0.74000001
vbl_ssh_allreg_jan.60574,0.75
vbl_ssh_allreg_jan.60575,0.66000003
vbl_ssh_allreg_jan.60576,1.38999999
vbl_ssh_allreg_jan.60577,1.69000006
vbl_ssh_allreg_jan.60578,1.88999999
vbl_ssh_allreg_jan.60579,1.98000002
vbl_ssh_allreg_jan.60580,2.07999992
vbl_ssh_allreg_jan.60581,2.18000007
vbl_ssh_allreg_jan.60582,2.27999997
vbl_ssh_allreg_jan.60583,2.3599999
vbl_ssh_allreg_jan.60584,2.43000007
vbl_ssh_allreg_jan.60585,2.49000001
vbl_ssh_allreg_jan.60586,2.54999995
vbl_ssh_allreg_jan.60587,2.61999989
vbl_ssh_allreg_jan.60588,2.66000009
vbl_ssh_allreg_jan.60589,2.71000004
vbl_ssh_allreg_jan.60590,2.75999999
vbl_ssh_allreg_jan.60591,2.80999994
vbl_ssh_allreg_jan.60592,2.8499999
vbl_ssh_allreg_jan.60593,2.86999989
vbl_ssh_allreg_jan.60594,2.9000001
vbl_ssh_allreg_jan.60595,2.92000008
vbl_ssh_allreg_jan.60596,2.95000005
vbl_ssh_allreg_jan.37,3.8900001
vbl_ssh_allreg_jan.60597,3
vbl_ssh_allreg_jan.60598,3.03999996
vbl_ssh_allreg_jan.60599,3.05999994
vbl_ssh_allreg_jan.60600,3.05999994
vbl_ssh_allreg_jan.60601,3.05999994
vbl_ssh_allreg_jan.60602,3.05999994
vbl_ssh_allreg_jan.60603,3.06999993
vbl_ssh_allreg_jan.60604,3.06999993
vbl_ssh_allreg_jan.60605,3.03999996
vbl_ssh_allreg_jan.60606,3.0999999
vbl_ssh_allreg_jan.60607,3.16000009
vbl_ssh_allreg_jan.60608,3.22000003
vbl_ssh_allreg_jan.60609,3.25999999
vbl_ssh_allreg_jan.60610,3.27999997
vbl_ssh_allreg_jan.60611,3.29999995
vbl_ssh_allreg_jan.60612,3.31999993
vbl_ssh_allreg_jan.60613,3.33999991
vbl_ssh_allreg_jan.60614,3.3499999
vbl_ssh_allreg_jan.60615,3.3599999
vbl_ssh_allreg_jan.60616,3.36999989
vbl_ssh_allreg_jan.60617,3.38000011
vbl_ssh_allreg_jan.60618,3.3900001
vbl_ssh_allreg_jan.60619,3.4000001
vbl_ssh_allreg_jan.60620,3.41000009
