FID,jul_ssh
vbl_ssh_allreg_jul.60425,1.13
vbl_ssh_allreg_jul.60426,1.17999995
vbl_ssh_allreg_jul.60427,1.22000003
vbl_ssh_allreg_jul.60428,1.25999999
vbl_ssh_allreg_jul.60429,1.28999996
vbl_ssh_allreg_jul.60430,1.32000005
vbl_ssh_allreg_jul.60431,1.35000002
vbl_ssh_allreg_jul.60432,1.37
vbl_ssh_allreg_jul.60433,1.39999998
vbl_ssh_allreg_jul.60434,1.40999997
vbl_ssh_allreg_jul.60435,1.41999996
vbl_ssh_allreg_jul.60436,1.41999996
vbl_ssh_allreg_jul.60437,1.45000005
vbl_ssh_allreg_jul.60438,1.46000004
vbl_ssh_allreg_jul.60439,1.47000003
vbl_ssh_allreg_jul.60440,1.49000001
vbl_ssh_allreg_jul.60441,1.49000001
vbl_ssh_allreg_jul.60442,1.50999999
vbl_ssh_allreg_jul.60443,1.51999998
vbl_ssh_allreg_jul.60444,1.53999996
vbl_ssh_allreg_jul.60445,1.54999995
vbl_ssh_allreg_jul.60446,1.55999994
vbl_ssh_allreg_jul.60447,1.55999994
vbl_ssh_allreg_jul.60448,1.57000005
vbl_ssh_allreg_jul.60449,1.58000004
vbl_ssh_allreg_jul.60450,1.58000004
vbl_ssh_allreg_jul.60451,1.59000003
vbl_ssh_allreg_jul.60452,1.60000002
vbl_ssh_allreg_jul.60453,1.60000002
vbl_ssh_allreg_jul.60454,1.60000002
vbl_ssh_allreg_jul.60455,1.61000001
vbl_ssh_allreg_jul.60456,1.61000001
vbl_ssh_allreg_jul.60457,1.62
vbl_ssh_allreg_jul.60458,1.62
vbl_ssh_allreg_jul.60459,1.62
vbl_ssh_allreg_jul.60460,1.62
vbl_ssh_allreg_jul.60461,1.63
vbl_ssh_allreg_jul.60462,1.63
vbl_ssh_allreg_jul.60463,1.63
vbl_ssh_allreg_jul.60464,1.63999999
vbl_ssh_allreg_jul.60465,0.31999999
vbl_ssh_allreg_jul.60466,0.37
vbl_ssh_allreg_jul.60467,0.47
vbl_ssh_allreg_jul.60468,0.52999997
vbl_ssh_allreg_jul.60469,0.58999997
vbl_ssh_allreg_jul.60470,0.66000003
vbl_ssh_allreg_jul.60471,0.72000003
vbl_ssh_allreg_jul.60472,0.81999999
vbl_ssh_allreg_jul.60473,0.88999999
vbl_ssh_allreg_jul.60474,0.94999999
vbl_ssh_allreg_jul.60475,1.00999999
vbl_ssh_allreg_jul.60476,1.05999994
vbl_ssh_allreg_jul.60477,1.11000001
vbl_ssh_allreg_jul.60478,1.15999997
vbl_ssh_allreg_jul.60479,1.20000005
vbl_ssh_allreg_jul.60480,1.24000001
vbl_ssh_allreg_jul.60481,1.26999998
vbl_ssh_allreg_jul.60482,1.29999995
vbl_ssh_allreg_jul.60483,1.32000005
vbl_ssh_allreg_jul.60484,1.35000002
vbl_ssh_allreg_jul.60485,1.38
vbl_ssh_allreg_jul.60486,1.38999999
vbl_ssh_allreg_jul.60487,1.38999999
vbl_ssh_allreg_jul.60488,1.38
vbl_ssh_allreg_jul.60489,1.40999997
vbl_ssh_allreg_jul.60490,1.44000006
vbl_ssh_allreg_jul.60491,1.46000004
vbl_ssh_allreg_jul.60492,1.48000002
vbl_ssh_allreg_jul.60493,1.48000002
vbl_ssh_allreg_jul.35,1.83000004
vbl_ssh_allreg_jul.60494,1.49000001
vbl_ssh_allreg_jul.60495,1.5
vbl_ssh_allreg_jul.60496,1.51999998
vbl_ssh_allreg_jul.60497,1.52999997
vbl_ssh_allreg_jul.60498,1.53999996
