FID,nov_ssh
vbl_ssh_allreg_nov.60050,2.75
vbl_ssh_allreg_nov.60051,2.80999994
vbl_ssh_allreg_nov.60052,2.8499999
vbl_ssh_allreg_nov.60053,2.9000001
vbl_ssh_allreg_nov.60054,2.93000007
vbl_ssh_allreg_nov.60055,2.97000003
vbl_ssh_allreg_nov.60056,3
vbl_ssh_allreg_nov.60057,3.02999997
vbl_ssh_allreg_nov.60058,3.06999993
vbl_ssh_allreg_nov.60059,3.1099999
vbl_ssh_allreg_nov.60060,3.1400001
vbl_ssh_allreg_nov.60061,3.17000008
vbl_ssh_allreg_nov.60062,3.19000006
vbl_ssh_allreg_nov.60063,3.21000004
vbl_ssh_allreg_nov.60064,3.23000002
vbl_ssh_allreg_nov.60065,3.24000001
vbl_ssh_allreg_nov.60066,3.25999999
vbl_ssh_allreg_nov.60067,3.26999998
vbl_ssh_allreg_nov.60068,3.28999996
vbl_ssh_allreg_nov.60069,3.29999995
vbl_ssh_allreg_nov.60070,3.30999994
vbl_ssh_allreg_nov.60071,3.32999992
vbl_ssh_allreg_nov.60072,3.33999991
vbl_ssh_allreg_nov.60073,3.3499999
vbl_ssh_allreg_nov.60074,3.3599999
vbl_ssh_allreg_nov.60075,1.34000003
vbl_ssh_allreg_nov.60076,1.71000004
vbl_ssh_allreg_nov.60077,1.96000004
vbl_ssh_allreg_nov.31,3.93000007
vbl_ssh_allreg_nov.60078,2.04999995
vbl_ssh_allreg_nov.60079,2.1500001
vbl_ssh_allreg_nov.60080,2.20000005
vbl_ssh_allreg_nov.60081,2.20000005
vbl_ssh_allreg_nov.60082,2.19000006
vbl_ssh_allreg_nov.60083,2.1099999
vbl_ssh_allreg_nov.60084,1.98000002
vbl_ssh_allreg_nov.60085,1.5
vbl_ssh_allreg_nov.60086,1.28999996
vbl_ssh_allreg_nov.60087,2.02999997
vbl_ssh_allreg_nov.60088,2.17000008
vbl_ssh_allreg_nov.60089,2.3599999
vbl_ssh_allreg_nov.60090,2.5
vbl_ssh_allreg_nov.60091,2.5999999
vbl_ssh_allreg_nov.60092,2.67000008
vbl_ssh_allreg_nov.60093,2.74000001
vbl_ssh_allreg_nov.60094,2.77999997
vbl_ssh_allreg_nov.60095,2.81999993
vbl_ssh_allreg_nov.60096,2.8599999
vbl_ssh_allreg_nov.60097,2.9000001
vbl_ssh_allreg_nov.60098,2.93000007
vbl_ssh_allreg_nov.60099,2.97000003
vbl_ssh_allreg_nov.60100,3
vbl_ssh_allreg_nov.60101,3.03999996
vbl_ssh_allreg_nov.60102,3.07999992
vbl_ssh_allreg_nov.60103,3.11999989
vbl_ssh_allreg_nov.60104,3.1500001
vbl_ssh_allreg_nov.60105,3.17000008
vbl_ssh_allreg_nov.60106,3.19000006
vbl_ssh_allreg_nov.60107,3.21000004
vbl_ssh_allreg_nov.60108,3.23000002
vbl_ssh_allreg_nov.60109,3.24000001
vbl_ssh_allreg_nov.60110,3.25999999
vbl_ssh_allreg_nov.60111,3.26999998
vbl_ssh_allreg_nov.60112,3.27999997
vbl_ssh_allreg_nov.60113,3.29999995
vbl_ssh_allreg_nov.60114,3.30999994
vbl_ssh_allreg_nov.60115,3.31999993
vbl_ssh_allreg_nov.60116,3.33999991
vbl_ssh_allreg_nov.60117,3.3499999
vbl_ssh_allreg_nov.60293,3.08999991
vbl_ssh_allreg_nov.60118,1.08000004
vbl_ssh_allreg_nov.60119,1.55999994
vbl_ssh_allreg_nov.60120,1.75
vbl_ssh_allreg_nov.60121,1.91999996
vbl_ssh_allreg_nov.60122,1.99000001
vbl_ssh_allreg_nov.60123,2.00999999
vbl_ssh_allreg_nov.60124,2.04999995
vbl_ssh_allreg_nov.60125,2.02999997
vbl_ssh_allreg_nov.60126,1.91999996
vbl_ssh_allreg_nov.60127,1.79999995
vbl_ssh_allreg_nov.60128,1.45000005
vbl_ssh_allreg_nov.60129,1.03999996
vbl_ssh_allreg_nov.60130,1.40999997
vbl_ssh_allreg_nov.60131,1.97000003
vbl_ssh_allreg_nov.60132,2.13000011
