FID,ann_ssh
vbl_ssh_allreg_ann.60425,1.82000005
vbl_ssh_allreg_ann.60426,1.88
vbl_ssh_allreg_ann.60427,1.94000006
vbl_ssh_allreg_ann.60428,1.99000001
vbl_ssh_allreg_ann.60429,2.03999996
vbl_ssh_allreg_ann.60430,2.07999992
vbl_ssh_allreg_ann.60431,2.1099999
vbl_ssh_allreg_ann.60432,2.1500001
vbl_ssh_allreg_ann.60433,2.20000005
vbl_ssh_allreg_ann.60434,2.23000002
vbl_ssh_allreg_ann.60435,2.25
vbl_ssh_allreg_ann.60436,2.26999998
vbl_ssh_allreg_ann.60437,2.30999994
vbl_ssh_allreg_ann.60438,2.32999992
vbl_ssh_allreg_ann.60439,2.33999991
vbl_ssh_allreg_ann.60440,2.38000011
vbl_ssh_allreg_ann.60441,2.3900001
vbl_ssh_allreg_ann.60442,2.4000001
vbl_ssh_allreg_ann.60443,2.43000007
vbl_ssh_allreg_ann.60444,2.45000005
vbl_ssh_allreg_ann.60445,2.47000003
vbl_ssh_allreg_ann.60446,2.49000001
vbl_ssh_allreg_ann.60447,2.50999999
vbl_ssh_allreg_ann.60448,2.51999998
vbl_ssh_allreg_ann.60449,2.53999996
vbl_ssh_allreg_ann.60450,2.55999994
vbl_ssh_allreg_ann.60451,2.56999993
vbl_ssh_allreg_ann.60452,2.58999991
vbl_ssh_allreg_ann.60453,2.5999999
vbl_ssh_allreg_ann.60454,2.6099999
vbl_ssh_allreg_ann.60455,2.61999989
vbl_ssh_allreg_ann.60456,2.63000011
vbl_ssh_allreg_ann.60457,2.6400001
vbl_ssh_allreg_ann.60458,2.6500001
vbl_ssh_allreg_ann.60459,2.66000009
vbl_ssh_allreg_ann.60460,2.67000008
vbl_ssh_allreg_ann.60461,2.67000008
vbl_ssh_allreg_ann.60462,2.68000007
vbl_ssh_allreg_ann.60463,2.69000006
vbl_ssh_allreg_ann.60464,2.69000006
vbl_ssh_allreg_ann.60465,0.56
vbl_ssh_allreg_ann.60466,0.64999998
vbl_ssh_allreg_ann.60467,0.79000002
vbl_ssh_allreg_ann.60468,0.89999998
vbl_ssh_allreg_ann.60469,0.99000001
vbl_ssh_allreg_ann.60470,1.09000003
vbl_ssh_allreg_ann.60471,1.20000005
vbl_ssh_allreg_ann.60472,1.35000002
vbl_ssh_allreg_ann.60473,1.46000004
vbl_ssh_allreg_ann.60474,1.54999995
vbl_ssh_allreg_ann.60475,1.63
vbl_ssh_allreg_ann.60476,1.71000004
vbl_ssh_allreg_ann.60477,1.77999997
vbl_ssh_allreg_ann.60478,1.84000003
vbl_ssh_allreg_ann.60479,1.89999998
vbl_ssh_allreg_ann.60480,1.95000005
vbl_ssh_allreg_ann.60481,2
vbl_ssh_allreg_ann.60482,2.03999996
vbl_ssh_allreg_ann.60483,2.07999992
vbl_ssh_allreg_ann.60484,2.11999989
vbl_ssh_allreg_ann.60485,2.17000008
vbl_ssh_allreg_ann.60486,2.20000005
vbl_ssh_allreg_ann.60487,2.20000005
vbl_ssh_allreg_ann.60488,2.18000007
vbl_ssh_allreg_ann.60489,2.25
vbl_ssh_allreg_ann.60490,2.28999996
vbl_ssh_allreg_ann.60491,2.31999993
vbl_ssh_allreg_ann.60492,2.36999989
vbl_ssh_allreg_ann.60493,2.38000011
vbl_ssh_allreg_ann.35,3.06999993
vbl_ssh_allreg_ann.60494,2.3900001
vbl_ssh_allreg_ann.60495,2.4000001
vbl_ssh_allreg_ann.60496,2.42000008
vbl_ssh_allreg_ann.60497,2.44000006
vbl_ssh_allreg_ann.60498,2.46000004
vbl_ssh_allreg_ann.60499,2.48000002
vbl_ssh_allreg_ann.60500,2.49000001
vbl_ssh_allreg_ann.60501,2.5
vbl_ssh_allreg_ann.60502,2.52999997
vbl_ssh_allreg_ann.60503,2.54999995
vbl_ssh_allreg_ann.60504,2.55999994
vbl_ssh_allreg_ann.60505,2.57999992
vbl_ssh_allreg_ann.60506,2.58999991
vbl_ssh_allreg_ann.60507,2.5999999
vbl_ssh_allreg_ann.60508,2.6099999
vbl_ssh_allreg_ann.60509,2.61999989
vbl_ssh_allreg_ann.60510,2.63000011
vbl_ssh_allreg_ann.60511,2.6400001
vbl_ssh_allreg_ann.60512,2.6500001
vbl_ssh_allreg_ann.60513,2.6500001
vbl_ssh_allreg_ann.60514,2.66000009
vbl_ssh_allreg_ann.60515,2.67000008
vbl_ssh_allreg_ann.60516,2.68000007
vbl_ssh_allreg_ann.60517,2.68000007
vbl_ssh_allreg_ann.60518,2.69000006
vbl_ssh_allreg_ann.60519,0.51999998
vbl_ssh_allreg_ann.60520,0.60000002
vbl_ssh_allreg_ann.60521,0.69999999
vbl_ssh_allreg_ann.60522,0.73000002
vbl_ssh_allreg_ann.60523,0.69999999
vbl_ssh_allreg_ann.60524,1.13999999
vbl_ssh_allreg_ann.60525,1.25999999
vbl_ssh_allreg_ann.60526,1.39999998
vbl_ssh_allreg_ann.60527,1.50999999
vbl_ssh_allreg_ann.60528,1.59000003
vbl_ssh_allreg_ann.60529,1.65999997
vbl_ssh_allreg_ann.60530,1.73000002
vbl_ssh_allreg_ann.60531,1.79999995
vbl_ssh_allreg_ann.60532,1.86000001
vbl_ssh_allreg_ann.60533,1.90999997
vbl_ssh_allreg_ann.60534,1.96000004
vbl_ssh_allreg_ann.60535,2.00999999
vbl_ssh_allreg_ann.60536,2.04999995
vbl_ssh_allreg_ann.60537,2.08999991
vbl_ssh_allreg_ann.60538,2.13000011
vbl_ssh_allreg_ann.60539,2.17000008
vbl_ssh_allreg_ann.60540,2.20000005
vbl_ssh_allreg_ann.60541,2.20000005
vbl_ssh_allreg_ann.60542,2.23000002
vbl_ssh_allreg_ann.60543,2.25999999
vbl_ssh_allreg_ann.60544,2.27999997
vbl_ssh_allreg_ann.60545,2.33999991
vbl_ssh_allreg_ann.60546,2.3599999
vbl_ssh_allreg_ann.60547,2.36999989
vbl_ssh_allreg_ann.60548,2.38000011
vbl_ssh_allreg_ann.60549,2.3900001
vbl_ssh_allreg_ann.60550,2.4000001
vbl_ssh_allreg_ann.60551,2.42000008
vbl_ssh_allreg_ann.60552,2.44000006
vbl_ssh_allreg_ann.60553,2.44000006
vbl_ssh_allreg_ann.60554,2.46000004
vbl_ssh_allreg_ann.60555,2.49000001
vbl_ssh_allreg_ann.60556,2.51999998
vbl_ssh_allreg_ann.60557,2.53999996
vbl_ssh_allreg_ann.60558,2.54999995
vbl_ssh_allreg_ann.60559,2.56999993
vbl_ssh_allreg_ann.60560,2.57999992
vbl_ssh_allreg_ann.60561,2.58999991
vbl_ssh_allreg_ann.60562,2.5999999
vbl_ssh_allreg_ann.36,3.06999993
vbl_ssh_allreg_ann.60563,2.6099999
vbl_ssh_allreg_ann.60564,2.61999989
vbl_ssh_allreg_ann.60565,2.63000011
vbl_ssh_allreg_ann.60566,2.6400001
vbl_ssh_allreg_ann.60567,2.6400001
vbl_ssh_allreg_ann.60568,2.6500001
vbl_ssh_allreg_ann.60569,2.66000009
vbl_ssh_allreg_ann.60570,2.67000008
vbl_ssh_allreg_ann.60571,2.67000008
vbl_ssh_allreg_ann.60572,2.67000008
vbl_ssh_allreg_ann.60573,0.56
vbl_ssh_allreg_ann.60574,0.57999998
vbl_ssh_allreg_ann.60575,0.52999997
vbl_ssh_allreg_ann.60576,1
vbl_ssh_allreg_ann.60577,1.21000004
vbl_ssh_allreg_ann.60578,1.36000001
vbl_ssh_allreg_ann.60579,1.44000006
vbl_ssh_allreg_ann.60580,1.51999998
vbl_ssh_allreg_ann.60581,1.60000002
vbl_ssh_allreg_ann.60582,1.67999995
vbl_ssh_allreg_ann.60583,1.75
vbl_ssh_allreg_ann.60584,1.80999994
vbl_ssh_allreg_ann.60585,1.86000001
vbl_ssh_allreg_ann.60586,1.90999997
vbl_ssh_allreg_ann.60587,1.97000003
vbl_ssh_allreg_ann.60588,2.00999999
vbl_ssh_allreg_ann.60589,2.04999995
