FID,aug_ssh
vbl_ssh_allreg_aug.60425,1.24000001
vbl_ssh_allreg_aug.60426,1.29999995
vbl_ssh_allreg_aug.60427,1.35000002
vbl_ssh_allreg_aug.60428,1.38999999
vbl_ssh_allreg_aug.60429,1.42999995
vbl_ssh_allreg_aug.60430,1.46000004
vbl_ssh_allreg_aug.60431,1.49000001
vbl_ssh_allreg_aug.60432,1.51999998
vbl_ssh_allreg_aug.60433,1.55999994
vbl_ssh_allreg_aug.60434,1.57000005
vbl_ssh_allreg_aug.60435,1.59000003
vbl_ssh_allreg_aug.60436,1.60000002
vbl_ssh_allreg_aug.60437,1.63
vbl_ssh_allreg_aug.60438,1.63999999
vbl_ssh_allreg_aug.60439,1.64999998
vbl_ssh_allreg_aug.60440,1.67999995
vbl_ssh_allreg_aug.60441,1.69000006
vbl_ssh_allreg_aug.60442,1.70000005
vbl_ssh_allreg_aug.60443,1.72000003
vbl_ssh_allreg_aug.60444,1.73000002
vbl_ssh_allreg_aug.60445,1.75
vbl_ssh_allreg_aug.60446,1.75999999
vbl_ssh_allreg_aug.60447,1.76999998
vbl_ssh_allreg_aug.60448,1.76999998
vbl_ssh_allreg_aug.60449,1.77999997
vbl_ssh_allreg_aug.60450,1.78999996
vbl_ssh_allreg_aug.60451,1.79999995
vbl_ssh_allreg_aug.60452,1.80999994
vbl_ssh_allreg_aug.60453,1.82000005
vbl_ssh_allreg_aug.60454,1.82000005
vbl_ssh_allreg_aug.60455,1.83000004
vbl_ssh_allreg_aug.60456,1.83000004
vbl_ssh_allreg_aug.60457,1.84000003
vbl_ssh_allreg_aug.60458,1.84000003
vbl_ssh_allreg_aug.60459,1.85000002
vbl_ssh_allreg_aug.60460,1.85000002
vbl_ssh_allreg_aug.60461,1.86000001
vbl_ssh_allreg_aug.60462,1.86000001
vbl_ssh_allreg_aug.60463,1.87
vbl_ssh_allreg_aug.60464,1.87
vbl_ssh_allreg_aug.60465,0.37
vbl_ssh_allreg_aug.60466,0.41999999
vbl_ssh_allreg_aug.60467,0.51999998
vbl_ssh_allreg_aug.60468,0.58999997
vbl_ssh_allreg_aug.60469,0.64999998
vbl_ssh_allreg_aug.60470,0.70999998
vbl_ssh_allreg_aug.60471,0.77999997
vbl_ssh_allreg_aug.60472,0.88
vbl_ssh_allreg_aug.60473,0.95999998
vbl_ssh_allreg_aug.60474,1.02999997
vbl_ssh_allreg_aug.60475,1.10000002
vbl_ssh_allreg_aug.60476,1.15999997
vbl_ssh_allreg_aug.60477,1.21000004
vbl_ssh_allreg_aug.60478,1.26999998
vbl_ssh_allreg_aug.60479,1.32000005
vbl_ssh_allreg_aug.60480,1.36000001
vbl_ssh_allreg_aug.60481,1.39999998
vbl_ssh_allreg_aug.60482,1.42999995
vbl_ssh_allreg_aug.60483,1.47000003
vbl_ssh_allreg_aug.60484,1.5
vbl_ssh_allreg_aug.60485,1.52999997
vbl_ssh_allreg_aug.60486,1.54999995
vbl_ssh_allreg_aug.60487,1.54999995
vbl_ssh_allreg_aug.60488,1.54999995
vbl_ssh_allreg_aug.60489,1.59000003
vbl_ssh_allreg_aug.60490,1.62
vbl_ssh_allreg_aug.60491,1.63999999
vbl_ssh_allreg_aug.60492,1.65999997
vbl_ssh_allreg_aug.60493,1.66999996
vbl_ssh_allreg_aug.35,1.99000001
vbl_ssh_allreg_aug.60494,1.69000006
vbl_ssh_allreg_aug.60495,1.70000005
vbl_ssh_allreg_aug.60496,1.71000004
vbl_ssh_allreg_aug.60497,1.72000003
vbl_ssh_allreg_aug.60498,1.74000001
vbl_ssh_allreg_aug.60499,1.75
vbl_ssh_allreg_aug.60500,1.75
vbl_ssh_allreg_aug.60501,1.75999999
vbl_ssh_allreg_aug.60502,1.76999998
vbl_ssh_allreg_aug.60503,1.77999997
vbl_ssh_allreg_aug.60504,1.78999996
vbl_ssh_allreg_aug.60505,1.79999995
vbl_ssh_allreg_aug.60506,1.80999994
vbl_ssh_allreg_aug.60507,1.80999994
vbl_ssh_allreg_aug.60508,1.82000005
vbl_ssh_allreg_aug.60509,1.83000004
vbl_ssh_allreg_aug.60510,1.83000004
vbl_ssh_allreg_aug.60511,1.84000003
vbl_ssh_allreg_aug.60512,1.84000003
vbl_ssh_allreg_aug.60513,1.84000003
vbl_ssh_allreg_aug.60514,1.85000002
vbl_ssh_allreg_aug.60515,1.86000001
vbl_ssh_allreg_aug.60516,1.86000001
vbl_ssh_allreg_aug.60517,1.86000001
vbl_ssh_allreg_aug.60518,1.87
vbl_ssh_allreg_aug.60519,0.34999999
vbl_ssh_allreg_aug.60520,0.41
vbl_ssh_allreg_aug.60521,0.47999999
vbl_ssh_allreg_aug.60522,0.5
vbl_ssh_allreg_aug.60523,0.5
vbl_ssh_allreg_aug.60524,0.74000001
vbl_ssh_allreg_aug.60525,0.82999998
vbl_ssh_allreg_aug.60526,0.93000001
vbl_ssh_allreg_aug.60527,1.00999999
vbl_ssh_allreg_aug.60528,1.07000005
vbl_ssh_allreg_aug.60529,1.13
vbl_ssh_allreg_aug.60530,1.17999995
vbl_ssh_allreg_aug.60531,1.24000001
vbl_ssh_allreg_aug.60532,1.28999996
vbl_ssh_allreg_aug.60533,1.33000004
vbl_ssh_allreg_aug.60534,1.37
vbl_ssh_allreg_aug.60535,1.40999997
vbl_ssh_allreg_aug.60536,1.44000006
vbl_ssh_allreg_aug.60537,1.47000003
vbl_ssh_allreg_aug.60538,1.5
vbl_ssh_allreg_aug.60539,1.52999997
vbl_ssh_allreg_aug.60540,1.53999996
vbl_ssh_allreg_aug.60541,1.54999995
vbl_ssh_allreg_aug.60542,1.58000004
vbl_ssh_allreg_aug.60543,1.59000003
vbl_ssh_allreg_aug.60544,1.61000001
vbl_ssh_allreg_aug.60545,1.63999999
