FID,dec_ssh
vbl_ssh_allreg_dec.60050,3.18000007
vbl_ssh_allreg_dec.60051,3.23000002
vbl_ssh_allreg_dec.60052,3.25999999
vbl_ssh_allreg_dec.60053,3.28999996
vbl_ssh_allreg_dec.60054,3.32999992
vbl_ssh_allreg_dec.60055,3.3499999
vbl_ssh_allreg_dec.60056,3.38000011
vbl_ssh_allreg_dec.60057,3.42000008
vbl_ssh_allreg_dec.60058,3.46000004
vbl_ssh_allreg_dec.60059,3.5
vbl_ssh_allreg_dec.60060,3.52999997
vbl_ssh_allreg_dec.60061,3.54999995
vbl_ssh_allreg_dec.60062,3.57999992
vbl_ssh_allreg_dec.60063,3.5999999
vbl_ssh_allreg_dec.60064,3.61999989
vbl_ssh_allreg_dec.60065,3.63000011
vbl_ssh_allreg_dec.60066,3.6500001
vbl_ssh_allreg_dec.60067,3.66000009
vbl_ssh_allreg_dec.60068,3.67000008
vbl_ssh_allreg_dec.60069,3.68000007
vbl_ssh_allreg_dec.60070,3.69000006
vbl_ssh_allreg_dec.60071,3.70000005
vbl_ssh_allreg_dec.60072,3.72000003
vbl_ssh_allreg_dec.60073,3.72000003
vbl_ssh_allreg_dec.60074,3.73000002
vbl_ssh_allreg_dec.60075,1.64999998
vbl_ssh_allreg_dec.60076,2.0999999
vbl_ssh_allreg_dec.60077,2.3599999
vbl_ssh_allreg_dec.31,4.19000006
vbl_ssh_allreg_dec.60078,2.43000007
vbl_ssh_allreg_dec.60079,2.50999999
vbl_ssh_allreg_dec.60080,2.53999996
vbl_ssh_allreg_dec.60081,2.5
vbl_ssh_allreg_dec.60082,2.44000006
vbl_ssh_allreg_dec.60083,2.28999996
vbl_ssh_allreg_dec.60084,2.13000011
vbl_ssh_allreg_dec.60085,1.51999998
vbl_ssh_allreg_dec.60086,1.59000003
vbl_ssh_allreg_dec.60087,2.48000002
vbl_ssh_allreg_dec.60088,2.58999991
vbl_ssh_allreg_dec.60089,2.79999995
vbl_ssh_allreg_dec.60090,2.94000006
vbl_ssh_allreg_dec.60091,3.03999996
vbl_ssh_allreg_dec.60092,3.1099999
vbl_ssh_allreg_dec.60093,3.16000009
vbl_ssh_allreg_dec.60094,3.20000005
vbl_ssh_allreg_dec.60095,3.23000002
vbl_ssh_allreg_dec.60096,3.25999999
vbl_ssh_allreg_dec.60097,3.28999996
vbl_ssh_allreg_dec.60098,3.30999994
vbl_ssh_allreg_dec.60099,3.33999991
vbl_ssh_allreg_dec.60100,3.38000011
vbl_ssh_allreg_dec.60101,3.43000007
vbl_ssh_allreg_dec.60102,3.47000003
vbl_ssh_allreg_dec.60103,3.5
vbl_ssh_allreg_dec.60104,3.52999997
vbl_ssh_allreg_dec.60105,3.55999994
vbl_ssh_allreg_dec.60106,3.57999992
vbl_ssh_allreg_dec.60107,3.5999999
vbl_ssh_allreg_dec.60108,3.61999989
vbl_ssh_allreg_dec.60109,3.63000011
vbl_ssh_allreg_dec.60110,3.6400001
vbl_ssh_allreg_dec.60111,3.6500001
vbl_ssh_allreg_dec.60112,3.67000008
vbl_ssh_allreg_dec.60113,3.68000007
vbl_ssh_allreg_dec.60114,3.69000006
vbl_ssh_allreg_dec.60115,3.70000005
vbl_ssh_allreg_dec.60116,3.72000003
vbl_ssh_allreg_dec.60117,3.72000003
vbl_ssh_allreg_dec.60293,3.48000002
vbl_ssh_allreg_dec.60118,1.34000003
vbl_ssh_allreg_dec.60119,1.94000006
vbl_ssh_allreg_dec.60120,2.13000011
vbl_ssh_allreg_dec.60121,2.27999997
vbl_ssh_allreg_dec.60122,2.31999993
vbl_ssh_allreg_dec.60123,2.30999994
vbl_ssh_allreg_dec.60124,2.3599999
vbl_ssh_allreg_dec.60125,2.27999997
vbl_ssh_allreg_dec.60126,2.08999991
vbl_ssh_allreg_dec.60127,1.91999996
vbl_ssh_allreg_dec.60128,1.49000001
vbl_ssh_allreg_dec.60129,1.24000001
vbl_ssh_allreg_dec.60130,1.74000001
vbl_ssh_allreg_dec.60131,2.4000001
vbl_ssh_allreg_dec.60132,2.54999995
vbl_ssh_allreg_dec.60133,2.74000001
vbl_ssh_allreg_dec.60134,2.86999989
vbl_ssh_allreg_dec.60135,2.96000004
vbl_ssh_allreg_dec.60136,3.03999996
vbl_ssh_allreg_dec.60137,3.0999999
vbl_ssh_allreg_dec.60138,3.1400001
vbl_ssh_allreg_dec.60139,3.17000008
vbl_ssh_allreg_dec.60140,3.20000005
vbl_ssh_allreg_dec.60141,3.23000002
vbl_ssh_allreg_dec.60142,3.25999999
vbl_ssh_allreg_dec.60143,3.29999995
vbl_ssh_allreg_dec.60144,3.33999991
vbl_ssh_allreg_dec.60145,3.36999989
vbl_ssh_allreg_dec.60146,3.4000001
vbl_ssh_allreg_dec.60147,3.44000006
vbl_ssh_allreg_dec.60148,3.48000002
vbl_ssh_allreg_dec.60149,3.50999999
vbl_ssh_allreg_dec.60150,3.53999996
vbl_ssh_allreg_dec.60151,3.55999994
vbl_ssh_allreg_dec.60152,3.57999992
vbl_ssh_allreg_dec.60154,3.6099999
vbl_ssh_allreg_dec.60155,3.63000011
vbl_ssh_allreg_dec.60156,3.6400001
vbl_ssh_allreg_dec.60157,3.6500001
vbl_ssh_allreg_dec.60158,3.66000009
vbl_ssh_allreg_dec.60159,3.67000008
vbl_ssh_allreg_dec.60160,3.69000006
vbl_ssh_allreg_dec.60161,3.70000005
vbl_ssh_allreg_dec.60162,3.71000004
vbl_ssh_allreg_dec.60163,3.72000003
vbl_ssh_allreg_dec.60164,1.87
vbl_ssh_allreg_dec.60165,1.91999996
vbl_ssh_allreg_dec.60166,2.00999999
vbl_ssh_allreg_dec.60167,2.01999998
vbl_ssh_allreg_dec.60168,2.02999997
vbl_ssh_allreg_dec.60169,1.75999999
vbl_ssh_allreg_dec.60170,1.66999996
vbl_ssh_allreg_dec.60171,1.39999998
vbl_ssh_allreg_dec.60172,1.15999997
vbl_ssh_allreg_dec.60173,1.63
vbl_ssh_allreg_dec.60174,1.96000004
vbl_ssh_allreg_dec.60175,2.3499999
vbl_ssh_allreg_dec.60176,2.52999997
vbl_ssh_allreg_dec.60177,2.69000006
vbl_ssh_allreg_dec.60178,2.79999995
vbl_ssh_allreg_dec.60179,2.9000001
vbl_ssh_allreg_dec.60180,2.97000003
vbl_ssh_allreg_dec.60181,3.02999997
vbl_ssh_allreg_dec.60182,3.07999992
vbl_ssh_allreg_dec.60183,3.0999999
vbl_ssh_allreg_dec.60184,3.1500001
vbl_ssh_allreg_dec.60185,3.19000006
vbl_ssh_allreg_dec.60186,3.22000003
vbl_ssh_allreg_dec.60187,3.27999997
vbl_ssh_allreg_dec.60188,3.30999994
vbl_ssh_allreg_dec.60189,3.32999992
vbl_ssh_allreg_dec.60190,3.3599999
vbl_ssh_allreg_dec.60191,3.3900001
vbl_ssh_allreg_dec.60192,3.42000008
vbl_ssh_allreg_dec.60193,3.46000004
vbl_ssh_allreg_dec.60194,3.49000001
vbl_ssh_allreg_dec.60195,3.51999998
vbl_ssh_allreg_dec.60196,3.53999996
vbl_ssh_allreg_dec.60197,3.55999994
vbl_ssh_allreg_dec.60198,3.57999992
vbl_ssh_allreg_dec.60199,3.58999991
vbl_ssh_allreg_dec.60200,3.6099999
