FID,jun_ssh
vbl_ssh_allreg_jun.60425,1.33000004
vbl_ssh_allreg_jun.60426,1.38
vbl_ssh_allreg_jun.60427,1.41999996
vbl_ssh_allreg_jun.60428,1.45000005
vbl_ssh_allreg_jun.60429,1.48000002
vbl_ssh_allreg_jun.60430,1.50999999
vbl_ssh_allreg_jun.60431,1.53999996
vbl_ssh_allreg_jun.60432,1.55999994
vbl_ssh_allreg_jun.60433,1.58000004
vbl_ssh_allreg_jun.60434,1.60000002
vbl_ssh_allreg_jun.60435,1.60000002
vbl_ssh_allreg_jun.60436,1.61000001
vbl_ssh_allreg_jun.60437,1.63999999
vbl_ssh_allreg_jun.60438,1.64999998
vbl_ssh_allreg_jun.60439,1.65999997
vbl_ssh_allreg_jun.60440,1.67999995
vbl_ssh_allreg_jun.60441,1.69000006
vbl_ssh_allreg_jun.60442,1.71000004
vbl_ssh_allreg_jun.60443,1.72000003
vbl_ssh_allreg_jun.60444,1.74000001
vbl_ssh_allreg_jun.60445,1.75
vbl_ssh_allreg_jun.60446,1.75999999
vbl_ssh_allreg_jun.60447,1.76999998
vbl_ssh_allreg_jun.60448,1.77999997
vbl_ssh_allreg_jun.60449,1.78999996
vbl_ssh_allreg_jun.60450,1.79999995
vbl_ssh_allreg_jun.60451,1.80999994
vbl_ssh_allreg_jun.60452,1.82000005
vbl_ssh_allreg_jun.60453,1.82000005
vbl_ssh_allreg_jun.60454,1.83000004
vbl_ssh_allreg_jun.60455,1.83000004
vbl_ssh_allreg_jun.60456,1.83000004
vbl_ssh_allreg_jun.60457,1.84000003
vbl_ssh_allreg_jun.60458,1.84000003
vbl_ssh_allreg_jun.60459,1.85000002
vbl_ssh_allreg_jun.60460,1.85000002
vbl_ssh_allreg_jun.60461,1.85000002
vbl_ssh_allreg_jun.60462,1.86000001
vbl_ssh_allreg_jun.60463,1.86000001
vbl_ssh_allreg_jun.60464,1.86000001
vbl_ssh_allreg_jun.60465,0.40000001
vbl_ssh_allreg_jun.60466,0.47
vbl_ssh_allreg_jun.60467,0.58999997
vbl_ssh_allreg_jun.60468,0.67000002
vbl_ssh_allreg_jun.60469,0.74000001
vbl_ssh_allreg_jun.60470,0.81999999
vbl_ssh_allreg_jun.60471,0.89999998
vbl_ssh_allreg_jun.60472,1.00999999
vbl_ssh_allreg_jun.60473,1.09000003
vbl_ssh_allreg_jun.60474,1.14999998
vbl_ssh_allreg_jun.60475,1.21000004
vbl_ssh_allreg_jun.60476,1.25999999
vbl_ssh_allreg_jun.60477,1.30999994
vbl_ssh_allreg_jun.60478,1.36000001
vbl_ssh_allreg_jun.60479,1.38999999
vbl_ssh_allreg_jun.60480,1.42999995
vbl_ssh_allreg_jun.60481,1.46000004
vbl_ssh_allreg_jun.60482,1.49000001
vbl_ssh_allreg_jun.60483,1.50999999
vbl_ssh_allreg_jun.60484,1.53999996
vbl_ssh_allreg_jun.60485,1.57000005
vbl_ssh_allreg_jun.60486,1.57000005
vbl_ssh_allreg_jun.60487,1.57000005
vbl_ssh_allreg_jun.60488,1.55999994
vbl_ssh_allreg_jun.60489,1.60000002
vbl_ssh_allreg_jun.60490,1.62
vbl_ssh_allreg_jun.60491,1.64999998
vbl_ssh_allreg_jun.60492,1.66999996
vbl_ssh_allreg_jun.60493,1.67999995
vbl_ssh_allreg_jun.35,1.92999995
vbl_ssh_allreg_jun.60494,1.69000006
vbl_ssh_allreg_jun.60495,1.70000005
vbl_ssh_allreg_jun.60496,1.72000003
vbl_ssh_allreg_jun.60497,1.73000002
vbl_ssh_allreg_jun.60498,1.74000001
vbl_ssh_allreg_jun.60499,1.75
vbl_ssh_allreg_jun.60500,1.75999999
vbl_ssh_allreg_jun.60501,1.76999998
vbl_ssh_allreg_jun.60502,1.78999996
vbl_ssh_allreg_jun.60503,1.78999996
vbl_ssh_allreg_jun.60504,1.79999995
vbl_ssh_allreg_jun.60505,1.80999994
vbl_ssh_allreg_jun.60506,1.82000005
vbl_ssh_allreg_jun.60507,1.82000005
