FID,mar_ssh
vbl_ssh_allreg_mar.60425,2.04999995
vbl_ssh_allreg_mar.60426,2.11999989
vbl_ssh_allreg_mar.60427,2.19000006
vbl_ssh_allreg_mar.60428,2.25
vbl_ssh_allreg_mar.60429,2.30999994
vbl_ssh_allreg_mar.60430,2.3499999
vbl_ssh_allreg_mar.60431,2.3900001
vbl_ssh_allreg_mar.60432,2.43000007
vbl_ssh_allreg_mar.60433,2.5
vbl_ssh_allreg_mar.60434,2.54999995
vbl_ssh_allreg_mar.60435,2.57999992
vbl_ssh_allreg_mar.60436,2.58999991
vbl_ssh_allreg_mar.60437,2.6500001
vbl_ssh_allreg_mar.60438,2.67000008
vbl_ssh_allreg_mar.60439,2.68000007
vbl_ssh_allreg_mar.60440,2.73000002
vbl_ssh_allreg_mar.60441,2.73000002
vbl_ssh_allreg_mar.60442,2.75
vbl_ssh_allreg_mar.60443,2.76999998
vbl_ssh_allreg_mar.60444,2.79999995
vbl_ssh_allreg_mar.60445,2.82999992
vbl_ssh_allreg_mar.60446,2.8599999
vbl_ssh_allreg_mar.60447,2.88000011
vbl_ssh_allreg_mar.60448,2.9000001
vbl_ssh_allreg_mar.60449,2.92000008
vbl_ssh_allreg_mar.60450,2.94000006
vbl_ssh_allreg_mar.60451,2.96000004
vbl_ssh_allreg_mar.60452,2.98000002
vbl_ssh_allreg_mar.60453,3
vbl_ssh_allreg_mar.60454,3.01999998
vbl_ssh_allreg_mar.60455,3.02999997
vbl_ssh_allreg_mar.60456,3.03999996
vbl_ssh_allreg_mar.60457,3.04999995
vbl_ssh_allreg_mar.60458,3.05999994
vbl_ssh_allreg_mar.60459,3.06999993
vbl_ssh_allreg_mar.60460,3.06999993
vbl_ssh_allreg_mar.60461,3.07999992
vbl_ssh_allreg_mar.60462,3.08999991
vbl_ssh_allreg_mar.60463,3.08999991
vbl_ssh_allreg_mar.60464,3.0999999
vbl_ssh_allreg_mar.60465,0.63999999
vbl_ssh_allreg_mar.60466,0.74000001
vbl_ssh_allreg_mar.60467,0.88999999
vbl_ssh_allreg_mar.60468,1.00999999
vbl_ssh_allreg_mar.60469,1.12
vbl_ssh_allreg_mar.60470,1.23000002
vbl_ssh_allreg_mar.60471,1.35000002
vbl_ssh_allreg_mar.60472,1.52999997
vbl_ssh_allreg_mar.60473,1.64999998
vbl_ssh_allreg_mar.60474,1.75999999
vbl_ssh_allreg_mar.60475,1.84000003
vbl_ssh_allreg_mar.60476,1.91999996
vbl_ssh_allreg_mar.60477,2
vbl_ssh_allreg_mar.60478,2.06999993
vbl_ssh_allreg_mar.60479,2.1400001
vbl_ssh_allreg_mar.60480,2.20000005
vbl_ssh_allreg_mar.60481,2.25999999
vbl_ssh_allreg_mar.60482,2.30999994
vbl_ssh_allreg_mar.60483,2.3499999
vbl_ssh_allreg_mar.60484,2.3900001
vbl_ssh_allreg_mar.60485,2.46000004
vbl_ssh_allreg_mar.60486,2.50999999
vbl_ssh_allreg_mar.60487,2.51999998
vbl_ssh_allreg_mar.60488,2.49000001
vbl_ssh_allreg_mar.60489,2.55999994
vbl_ssh_allreg_mar.60490,2.6099999
vbl_ssh_allreg_mar.60491,2.6500001
vbl_ssh_allreg_mar.60492,2.72000003
vbl_ssh_allreg_mar.60493,2.73000002
vbl_ssh_allreg_mar.35,3.71000004
vbl_ssh_allreg_mar.60494,2.73000002
vbl_ssh_allreg_mar.60495,2.74000001
vbl_ssh_allreg_mar.60496,2.75999999
vbl_ssh_allreg_mar.60497,2.78999996
vbl_ssh_allreg_mar.60498,2.80999994
vbl_ssh_allreg_mar.60499,2.83999991
vbl_ssh_allreg_mar.60500,2.8499999
vbl_ssh_allreg_mar.60501,2.86999989
vbl_ssh_allreg_mar.60502,2.9000001
vbl_ssh_allreg_mar.60503,2.93000007
vbl_ssh_allreg_mar.60504,2.95000005
vbl_ssh_allreg_mar.60505,2.97000003
vbl_ssh_allreg_mar.60506,2.99000001
vbl_ssh_allreg_mar.60507,3
vbl_ssh_allreg_mar.60508,3.00999999
vbl_ssh_allreg_mar.60509,3.01999998
vbl_ssh_allreg_mar.60510,3.02999997
vbl_ssh_allreg_mar.60511,3.03999996
vbl_ssh_allreg_mar.60512,3.04999995
vbl_ssh_allreg_mar.60513,3.05999994
vbl_ssh_allreg_mar.60514,3.06999993
vbl_ssh_allreg_mar.60515,3.06999993
vbl_ssh_allreg_mar.60516,3.07999992
vbl_ssh_allreg_mar.60517,3.07999992
vbl_ssh_allreg_mar.60518,3.08999991
vbl_ssh_allreg_mar.60519,0.57999998
vbl_ssh_allreg_mar.60520,0.68000001
vbl_ssh_allreg_mar.60521,0.79000002
vbl_ssh_allreg_mar.60522,0.81999999
vbl_ssh_allreg_mar.60523,0.77999997
vbl_ssh_allreg_mar.60524,1.28999996
vbl_ssh_allreg_mar.60525,1.41999996
vbl_ssh_allreg_mar.60526,1.58000004
vbl_ssh_allreg_mar.60527,1.69000006
vbl_ssh_allreg_mar.60528,1.77999997
vbl_ssh_allreg_mar.60529,1.87
vbl_ssh_allreg_mar.60530,1.94000006
vbl_ssh_allreg_mar.60531,2.01999998
vbl_ssh_allreg_mar.60532,2.08999991
vbl_ssh_allreg_mar.60533,2.1500001
vbl_ssh_allreg_mar.60534,2.21000004
vbl_ssh_allreg_mar.60535,2.25999999
vbl_ssh_allreg_mar.60536,2.30999994
vbl_ssh_allreg_mar.60537,2.3499999
vbl_ssh_allreg_mar.60538,2.42000008
vbl_ssh_allreg_mar.60539,2.48000002
