FID,may_ssh
vbl_ssh_allreg_may.60425,1.47000003
vbl_ssh_allreg_may.60426,1.51999998
vbl_ssh_allreg_may.60427,1.55999994
vbl_ssh_allreg_may.60428,1.60000002
vbl_ssh_allreg_may.60429,1.63
vbl_ssh_allreg_may.60430,1.65999997
vbl_ssh_allreg_may.60431,1.69000006
vbl_ssh_allreg_may.60432,1.71000004
vbl_ssh_allreg_may.60433,1.75
vbl_ssh_allreg_may.60434,1.76999998
vbl_ssh_allreg_may.60435,1.77999997
vbl_ssh_allreg_may.60436,1.78999996
vbl_ssh_allreg_may.60437,1.82000005
vbl_ssh_allreg_may.60438,1.83000004
vbl_ssh_allreg_may.60439,1.84000003
vbl_ssh_allreg_may.60440,1.87
vbl_ssh_allreg_may.60441,1.88
vbl_ssh_allreg_may.60442,1.88999999
vbl_ssh_allreg_may.60443,1.90999997
vbl_ssh_allreg_may.60444,1.92999995
vbl_ssh_allreg_may.60445,1.95000005
vbl_ssh_allreg_may.60446,1.96000004
vbl_ssh_allreg_may.60447,1.97000003
vbl_ssh_allreg_may.60448,1.98000002
vbl_ssh_allreg_may.60449,1.99000001
vbl_ssh_allreg_may.60450,2
vbl_ssh_allreg_may.60451,2.00999999
vbl_ssh_allreg_may.60452,2.01999998
vbl_ssh_allreg_may.60453,2.02999997
vbl_ssh_allreg_may.60454,2.02999997
vbl_ssh_allreg_may.60455,2.03999996
vbl_ssh_allreg_may.60456,2.04999995
vbl_ssh_allreg_may.60457,2.04999995
vbl_ssh_allreg_may.60458,2.05999994
vbl_ssh_allreg_may.60459,2.05999994
vbl_ssh_allreg_may.60460,2.06999993
vbl_ssh_allreg_may.60461,2.06999993
vbl_ssh_allreg_may.60462,2.07999992
vbl_ssh_allreg_may.60463,2.07999992
vbl_ssh_allreg_may.60464,2.07999992
vbl_ssh_allreg_may.60465,0.46000001
vbl_ssh_allreg_may.60466,0.52999997
vbl_ssh_allreg_may.60467,0.64999998
vbl_ssh_allreg_may.60468,0.75
vbl_ssh_allreg_may.60469,0.81999999
vbl_ssh_allreg_may.60470,0.91000003
vbl_ssh_allreg_may.60471,1
vbl_ssh_allreg_may.60472,1.12
vbl_ssh_allreg_may.60473,1.20000005
vbl_ssh_allreg_may.60474,1.26999998
vbl_ssh_allreg_may.60475,1.33000004
vbl_ssh_allreg_may.60476,1.38999999
vbl_ssh_allreg_may.60477,1.44000006
vbl_ssh_allreg_may.60478,1.49000001
vbl_ssh_allreg_may.60479,1.52999997
vbl_ssh_allreg_may.60480,1.57000005
vbl_ssh_allreg_may.60481,1.60000002
vbl_ssh_allreg_may.60482,1.63
vbl_ssh_allreg_may.60483,1.65999997
vbl_ssh_allreg_may.60484,1.69000006
vbl_ssh_allreg_may.60485,1.72000003
vbl_ssh_allreg_may.60486,1.74000001
vbl_ssh_allreg_may.60487,1.74000001
vbl_ssh_allreg_may.60488,1.73000002
vbl_ssh_allreg_may.60489,1.76999998
vbl_ssh_allreg_may.60490,1.79999995
vbl_ssh_allreg_may.60491,1.82000005
vbl_ssh_allreg_may.60492,1.86000001
vbl_ssh_allreg_may.60493,1.87
vbl_ssh_allreg_may.35,2.42000008
vbl_ssh_allreg_may.60494,1.88
vbl_ssh_allreg_may.60495,1.88999999
vbl_ssh_allreg_may.60496,1.89999998
vbl_ssh_allreg_may.60497,1.91999996
vbl_ssh_allreg_may.60498,1.92999995
vbl_ssh_allreg_may.60499,1.95000005
vbl_ssh_allreg_may.60500,1.96000004
vbl_ssh_allreg_may.60501,1.97000003
vbl_ssh_allreg_may.60502,1.98000002
vbl_ssh_allreg_may.60503,1.99000001
vbl_ssh_allreg_may.60504,2
vbl_ssh_allreg_may.60505,2.00999999
vbl_ssh_allreg_may.60506,2.01999998
vbl_ssh_allreg_may.60507,2.02999997
vbl_ssh_allreg_may.60508,2.02999997
vbl_ssh_allreg_may.60509,2.03999996
vbl_ssh_allreg_may.60510,2.04999995
vbl_ssh_allreg_may.60511,2.04999995
vbl_ssh_allreg_may.60512,2.05999994
vbl_ssh_allreg_may.60513,2.05999994
vbl_ssh_allreg_may.60514,2.05999994
vbl_ssh_allreg_may.60515,2.06999993
vbl_ssh_allreg_may.60516,2.07999992
vbl_ssh_allreg_may.60517,2.07999992
vbl_ssh_allreg_may.60518,2.07999992
vbl_ssh_allreg_may.60519,0.43000001
vbl_ssh_allreg_may.60520,0.5
vbl_ssh_allreg_may.60521,0.57999998
vbl_ssh_allreg_may.60522,0.58999997
vbl_ssh_allreg_may.60523,0.55000001
vbl_ssh_allreg_may.60524,0.95999998
vbl_ssh_allreg_may.60525,1.03999996
vbl_ssh_allreg_may.60526,1.15999997
vbl_ssh_allreg_may.60527,1.24000001
vbl_ssh_allreg_may.60528,1.29999995
vbl_ssh_allreg_may.60529,1.35000002
vbl_ssh_allreg_may.60530,1.40999997
vbl_ssh_allreg_may.60531,1.46000004
vbl_ssh_allreg_may.60532,1.5
vbl_ssh_allreg_may.60533,1.53999996
vbl_ssh_allreg_may.60534,1.57000005
vbl_ssh_allreg_may.60535,1.61000001
vbl_ssh_allreg_may.60536,1.63999999
vbl_ssh_allreg_may.60537,1.66999996
vbl_ssh_allreg_may.60538,1.70000005
vbl_ssh_allreg_may.60539,1.72000003
vbl_ssh_allreg_may.60540,1.74000001
vbl_ssh_allreg_may.60541,1.74000001
vbl_ssh_allreg_may.60542,1.75999999
vbl_ssh_allreg_may.60543,1.77999997
vbl_ssh_allreg_may.60544,1.79999995
vbl_ssh_allreg_may.60545,1.83000004
vbl_ssh_allreg_may.60546,1.85000002
vbl_ssh_allreg_may.60547,1.86000001
vbl_ssh_allreg_may.60548,1.86000001
vbl_ssh_allreg_may.60549,1.88
vbl_ssh_allreg_may.60550,1.88999999
vbl_ssh_allreg_may.60551,1.89999998
vbl_ssh_allreg_may.60552,1.91999996
vbl_ssh_allreg_may.60553,1.92999995
vbl_ssh_allreg_may.60554,1.94000006
vbl_ssh_allreg_may.60555,1.96000004
vbl_ssh_allreg_may.60556,1.97000003
vbl_ssh_allreg_may.60557,1.98000002
vbl_ssh_allreg_may.60558,2
vbl_ssh_allreg_may.60559,2
vbl_ssh_allreg_may.60560,2.00999999
vbl_ssh_allreg_may.60561,2.01999998
vbl_ssh_allreg_may.60562,2.02999997
vbl_ssh_allreg_may.36,2.42000008
vbl_ssh_allreg_may.60563,2.02999997
vbl_ssh_allreg_may.60564,2.03999996
vbl_ssh_allreg_may.60565,2.03999996
vbl_ssh_allreg_may.60566,2.04999995
vbl_ssh_allreg_may.60567,2.04999995
vbl_ssh_allreg_may.60568,2.05999994
vbl_ssh_allreg_may.60569,2.05999994
vbl_ssh_allreg_may.60570,2.06999993
vbl_ssh_allreg_may.60571,2.06999993
vbl_ssh_allreg_may.60572,2.06999993
vbl_ssh_allreg_may.60573,0.46000001
vbl_ssh_allreg_may.60574,0.46000001
vbl_ssh_allreg_may.60575,0.41
vbl_ssh_allreg_may.60576,0.83999997
vbl_ssh_allreg_may.60577,1.00999999
vbl_ssh_allreg_may.60578,1.13
vbl_ssh_allreg_may.60579,1.19000006
vbl_ssh_allreg_may.60580,1.25
vbl_ssh_allreg_may.60581,1.30999994
vbl_ssh_allreg_may.60582,1.37
vbl_ssh_allreg_may.60583,1.41999996
vbl_ssh_allreg_may.60584,1.47000003
vbl_ssh_allreg_may.60585,1.5
vbl_ssh_allreg_may.60586,1.53999996
vbl_ssh_allreg_may.60587,1.58000004
vbl_ssh_allreg_may.60588,1.61000001
vbl_ssh_allreg_may.60589,1.63999999
vbl_ssh_allreg_may.60590,1.66999996
vbl_ssh_allreg_may.60591,1.69000006
vbl_ssh_allreg_may.60592,1.71000004
vbl_ssh_allreg_may.60593,1.73000002
vbl_ssh_allreg_may.60594,1.75
vbl_ssh_allreg_may.60595,1.75999999
vbl_ssh_allreg_may.60596,1.77999997
vbl_ssh_allreg_may.37,2.42000008
vbl_ssh_allreg_may.60597,1.79999995
vbl_ssh_allreg_may.60598,1.82000005
vbl_ssh_allreg_may.60599,1.83000004
vbl_ssh_allreg_may.60600,1.84000003
vbl_ssh_allreg_may.60601,1.85000002
vbl_ssh_allreg_may.60602,1.86000001
vbl_ssh_allreg_may.60603,1.86000001
vbl_ssh_allreg_may.60604,1.87
vbl_ssh_allreg_may.60605,1.87
vbl_ssh_allreg_may.60606,1.88999999
vbl_ssh_allreg_may.60607,1.91999996
vbl_ssh_allreg_may.60608,1.95000005
vbl_ssh_allreg_may.60609,1.96000004
vbl_ssh_allreg_may.60610,1.98000002
vbl_ssh_allreg_may.60611,1.99000001
vbl_ssh_allreg_may.60612,2
vbl_ssh_allreg_may.60613,2
vbl_ssh_allreg_may.60614,2.00999999
vbl_ssh_allreg_may.60615,2.01999998
vbl_ssh_allreg_may.60616,2.01999998
vbl_ssh_allreg_may.60617,2.02999997
vbl_ssh_allreg_may.60618,2.02999997
vbl_ssh_allreg_may.60619,2.03999996
vbl_ssh_allreg_may.60620,2.03999996
vbl_ssh_allreg_may.60621,2.04999995
vbl_ssh_allreg_may.60622,2.04999995
vbl_ssh_allreg_may.60623,2.05999994
vbl_ssh_allreg_may.60624,2.05999994
vbl_ssh_allreg_may.60625,2.05999994
vbl_ssh_allreg_may.60626,2.06999993
vbl_ssh_allreg_may.60627,0.37
vbl_ssh_allreg_may.60628,0.33000001
vbl_ssh_allreg_may.60629,0.85000002
vbl_ssh_allreg_may.60630,1.03999996
vbl_ssh_allreg_may.60631,1.11000001
vbl_ssh_allreg_may.60633,1.25999999
vbl_ssh_allreg_may.60634,1.30999994
vbl_ssh_allreg_may.60635,1.38
vbl_ssh_allreg_may.60636,1.42999995
vbl_ssh_allreg_may.60637,1.47000003
vbl_ssh_allreg_may.60638,1.5
vbl_ssh_allreg_may.60639,1.53999996
vbl_ssh_allreg_may.60640,1.58000004
vbl_ssh_allreg_may.60641,1.61000001
vbl_ssh_allreg_may.60642,1.63999999
vbl_ssh_allreg_may.60643,1.65999997
vbl_ssh_allreg_may.60644,1.67999995
vbl_ssh_allreg_may.60645,1.70000005
vbl_ssh_allreg_may.60646,1.72000003
vbl_ssh_allreg_may.60647,1.74000001
vbl_ssh_allreg_may.60648,1.75999999
vbl_ssh_allreg_may.60649,1.76999998
vbl_ssh_allreg_may.60650,1.78999996
vbl_ssh_allreg_may.60651,1.79999995
vbl_ssh_allreg_may.60652,1.80999994
vbl_ssh_allreg_may.60653,1.80999994
vbl_ssh_allreg_may.60654,1.80999994
vbl_ssh_allreg_may.60655,1.80999994
vbl_ssh_allreg_may.60656,1.80999994
vbl_ssh_allreg_may.60657,1.75999999
vbl_ssh_allreg_may.60658,1.83000004
vbl_ssh_allreg_may.60659,1.86000001
vbl_ssh_allreg_may.60660,1.89999998
vbl_ssh_allreg_may.60661,1.92999995
vbl_ssh_allreg_may.60662,1.95000005
vbl_ssh_allreg_may.60663,1.97000003
vbl_ssh_allreg_may.60664,1.98000002
vbl_ssh_allreg_may.60665,1.99000001
vbl_ssh_allreg_may.60666,1.99000001
vbl_ssh_allreg_may.38,2.43000007
vbl_ssh_allreg_may.60667,2
vbl_ssh_allreg_may.60668,2.00999999
vbl_ssh_allreg_may.60669,2.01999998
vbl_ssh_allreg_may.60670,2.01999998
vbl_ssh_allreg_may.60671,2.02999997
vbl_ssh_allreg_may.60672,2.02999997
vbl_ssh_allreg_may.60673,2.03999996
vbl_ssh_allreg_may.60674,2.03999996
vbl_ssh_allreg_may.60675,2.04999995
vbl_ssh_allreg_may.60676,2.04999995
vbl_ssh_allreg_may.60677,2.04999995
vbl_ssh_allreg_may.60678,2.05999994
vbl_ssh_allreg_may.60679,2.05999994
vbl_ssh_allreg_may.60680,2.05999994
vbl_ssh_allreg_may.60681,0.28
vbl_ssh_allreg_may.60682,0.62
vbl_ssh_allreg_may.60683,0.92000002
vbl_ssh_allreg_may.60684,0.97000003
vbl_ssh_allreg_may.60685,1
vbl_ssh_allreg_may.60686,1.25
vbl_ssh_allreg_may.60687,1.33000004
vbl_ssh_allreg_may.60688,1.39999998
vbl_ssh_allreg_may.60689,1.44000006
vbl_ssh_allreg_may.60690,1.47000003
vbl_ssh_allreg_may.60691,1.50999999
vbl_ssh_allreg_may.60692,1.53999996
vbl_ssh_allreg_may.60693,1.58000004
vbl_ssh_allreg_may.60694,1.60000002
vbl_ssh_allreg_may.60695,1.63
vbl_ssh_allreg_may.60696,1.64999998
vbl_ssh_allreg_may.60697,1.66999996
vbl_ssh_allreg_may.60698,1.70000005
vbl_ssh_allreg_may.60699,1.71000004
vbl_ssh_allreg_may.60700,1.73000002
vbl_ssh_allreg_may.60701,1.74000001
vbl_ssh_allreg_may.60703,1.75999999
vbl_ssh_allreg_may.60704,1.76999998
vbl_ssh_allreg_may.60705,1.75999999
vbl_ssh_allreg_may.60706,1.74000001
vbl_ssh_allreg_may.60707,1.69000006
vbl_ssh_allreg_may.60708,1.53999996
vbl_ssh_allreg_may.60709,1.50999999
vbl_ssh_allreg_may.60710,1.72000003
vbl_ssh_allreg_may.60711,1.83000004
vbl_ssh_allreg_may.60712,1.88
vbl_ssh_allreg_may.60713,1.91999996
vbl_ssh_allreg_may.60714,1.94000006
vbl_ssh_allreg_may.60715,1.95000005
vbl_ssh_allreg_may.60716,1.97000003
vbl_ssh_allreg_may.60717,1.98000002
vbl_ssh_allreg_may.60718,1.98000002
vbl_ssh_allreg_may.60719,1.99000001
vbl_ssh_allreg_may.60720,2
vbl_ssh_allreg_may.60721,2.00999999
vbl_ssh_allreg_may.60722,2.00999999
vbl_ssh_allreg_may.60723,2.01999998
vbl_ssh_allreg_may.60724,2.01999998
vbl_ssh_allreg_may.60725,2.02999997
vbl_ssh_allreg_may.60726,2.02999997
vbl_ssh_allreg_may.60727,2.03999996
vbl_ssh_allreg_may.60728,2.03999996
vbl_ssh_allreg_may.60729,2.04999995
vbl_ssh_allreg_may.60730,2.04999995
vbl_ssh_allreg_may.60731,2.04999995
vbl_ssh_allreg_may.60732,2.04999995
vbl_ssh_allreg_may.60733,0.2
vbl_ssh_allreg_may.60734,0.63
vbl_ssh_allreg_may.60735,0.73000002
vbl_ssh_allreg_may.60736,0.66000003
vbl_ssh_allreg_may.39,2.43000007
vbl_ssh_allreg_may.60737,1.04999995
vbl_ssh_allreg_may.60738,1.25
vbl_ssh_allreg_may.60739,1.35000002
vbl_ssh_allreg_may.60740,1.39999998
vbl_ssh_allreg_may.60741,1.44000006
vbl_ssh_allreg_may.60742,1.47000003
vbl_ssh_allreg_may.60743,1.5
vbl_ssh_allreg_may.60744,1.52999997
vbl_ssh_allreg_may.60745,1.54999995
vbl_ssh_allreg_may.60746,1.59000003
vbl_ssh_allreg_may.60747,1.60000002
vbl_ssh_allreg_may.60748,1.63
vbl_ssh_allreg_may.60749,1.65999997
vbl_ssh_allreg_may.60750,1.67999995
vbl_ssh_allreg_may.60751,1.70000005
vbl_ssh_allreg_may.60752,1.71000004
vbl_ssh_allreg_may.60753,1.72000003
vbl_ssh_allreg_may.60754,1.73000002
vbl_ssh_allreg_may.60755,1.73000002
vbl_ssh_allreg_may.60756,1.72000003
vbl_ssh_allreg_may.60757,1.67999995
vbl_ssh_allreg_may.60758,1.60000002
vbl_ssh_allreg_may.60759,1.41999996
vbl_ssh_allreg_may.60760,1.26999998
vbl_ssh_allreg_may.60761,1.58000004
vbl_ssh_allreg_may.60762,1.74000001
vbl_ssh_allreg_may.60763,1.82000005
vbl_ssh_allreg_may.60764,1.87
vbl_ssh_allreg_may.60765,1.89999998
vbl_ssh_allreg_may.60766,1.92999995
vbl_ssh_allreg_may.60767,1.94000006
vbl_ssh_allreg_may.60768,1.95000005
vbl_ssh_allreg_may.60769,1.96000004
vbl_ssh_allreg_may.60770,1.97000003
vbl_ssh_allreg_may.60771,1.98000002
vbl_ssh_allreg_may.60772,1.99000001
vbl_ssh_allreg_may.60773,2
vbl_ssh_allreg_may.60774,2.00999999
vbl_ssh_allreg_may.60775,2.00999999
vbl_ssh_allreg_may.60776,2.01999998
vbl_ssh_allreg_may.60777,2.01999998
vbl_ssh_allreg_may.60778,2.02999997
vbl_ssh_allreg_may.60779,2.02999997
vbl_ssh_allreg_may.60780,2.02999997
vbl_ssh_allreg_may.60781,2.03999996
vbl_ssh_allreg_may.60782,2.03999996
vbl_ssh_allreg_may.60783,2.03999996
vbl_ssh_allreg_may.60784,2.03999996
vbl_ssh_allreg_may.60785,0.44999999
vbl_ssh_allreg_may.60786,0.68000001
vbl_ssh_allreg_may.60787,1.17999995
vbl_ssh_allreg_may.60788,1.32000005
vbl_ssh_allreg_may.60789,1.36000001
vbl_ssh_allreg_may.60790,1.40999997
vbl_ssh_allreg_may.60791,1.44000006
vbl_ssh_allreg_may.60792,1.46000004
vbl_ssh_allreg_may.60793,1.49000001
vbl_ssh_allreg_may.60794,1.50999999
vbl_ssh_allreg_may.60795,1.53999996
vbl_ssh_allreg_may.60796,1.55999994
vbl_ssh_allreg_may.60797,1.59000003
vbl_ssh_allreg_may.60798,1.61000001
vbl_ssh_allreg_may.60799,1.62
vbl_ssh_allreg_may.60800,1.63
vbl_ssh_allreg_may.60801,1.63
vbl_ssh_allreg_may.60802,1.66999996
vbl_ssh_allreg_may.60803,1.69000006
vbl_ssh_allreg_may.60804,1.69000006
vbl_ssh_allreg_may.60805,1.67999995
vbl_ssh_allreg_may.40,2.43000007
vbl_ssh_allreg_may.60806,1.65999997
vbl_ssh_allreg_may.60807,1.59000003
vbl_ssh_allreg_may.60808,1.51999998
vbl_ssh_allreg_may.60809,1.17999995
vbl_ssh_allreg_may.60810,1.30999994
vbl_ssh_allreg_may.60811,1.50999999
vbl_ssh_allreg_may.60812,1.66999996
