FID,sep_ssh
vbl_ssh_allreg_sep.60425,1.63
vbl_ssh_allreg_sep.60426,1.69000006
vbl_ssh_allreg_sep.60427,1.75
vbl_ssh_allreg_sep.60428,1.79999995
vbl_ssh_allreg_sep.60429,1.85000002
vbl_ssh_allreg_sep.60430,1.88999999
vbl_ssh_allreg_sep.60431,1.92999995
vbl_ssh_allreg_sep.60432,1.96000004
vbl_ssh_allreg_sep.60433,2
vbl_ssh_allreg_sep.60434,2.02999997
vbl_ssh_allreg_sep.60435,2.04999995
vbl_ssh_allreg_sep.60436,2.05999994
vbl_ssh_allreg_sep.60437,2.0999999
vbl_ssh_allreg_sep.60438,2.11999989
vbl_ssh_allreg_sep.60439,2.11999989
vbl_ssh_allreg_sep.60440,2.17000008
vbl_ssh_allreg_sep.60441,2.17000008
vbl_ssh_allreg_sep.60442,2.19000006
vbl_ssh_allreg_sep.60443,2.21000004
vbl_ssh_allreg_sep.60444,2.23000002
vbl_ssh_allreg_sep.60445,2.25
vbl_ssh_allreg_sep.60446,2.26999998
vbl_ssh_allreg_sep.60447,2.27999997
vbl_ssh_allreg_sep.60448,2.28999996
vbl_ssh_allreg_sep.60449,2.29999995
vbl_ssh_allreg_sep.60450,2.31999993
vbl_ssh_allreg_sep.60451,2.32999992
vbl_ssh_allreg_sep.60452,2.33999991
vbl_ssh_allreg_sep.60453,2.3499999
vbl_ssh_allreg_sep.60454,2.3599999
vbl_ssh_allreg_sep.60455,2.36999989
vbl_ssh_allreg_sep.60456,2.38000011
vbl_ssh_allreg_sep.60457,2.3900001
vbl_ssh_allreg_sep.60458,2.4000001
vbl_ssh_allreg_sep.60459,2.41000009
vbl_ssh_allreg_sep.60460,2.42000008
vbl_ssh_allreg_sep.60461,2.43000007
vbl_ssh_allreg_sep.60462,2.43000007
vbl_ssh_allreg_sep.60463,2.44000006
vbl_ssh_allreg_sep.60464,2.45000005
vbl_ssh_allreg_sep.60465,0.5
vbl_ssh_allreg_sep.60466,0.56999999
vbl_ssh_allreg_sep.60467,0.69999999
vbl_ssh_allreg_sep.60468,0.79000002
vbl_ssh_allreg_sep.60469,0.87
vbl_ssh_allreg_sep.60470,0.95999998
vbl_ssh_allreg_sep.60471,1.04999995
vbl_ssh_allreg_sep.60472,1.19000006
vbl_ssh_allreg_sep.60473,1.28999996
vbl_ssh_allreg_sep.60474,1.37
vbl_ssh_allreg_sep.60475,1.45000005
vbl_ssh_allreg_sep.60476,1.52999997
vbl_ssh_allreg_sep.60477,1.59000003
vbl_ssh_allreg_sep.60478,1.65999997
vbl_ssh_allreg_sep.60479,1.72000003
vbl_ssh_allreg_sep.60480,1.76999998
vbl_ssh_allreg_sep.60481,1.82000005
vbl_ssh_allreg_sep.60482,1.86000001
vbl_ssh_allreg_sep.60483,1.89999998
vbl_ssh_allreg_sep.60484,1.94000006
vbl_ssh_allreg_sep.60485,1.98000002
vbl_ssh_allreg_sep.60486,2
vbl_ssh_allreg_sep.60487,2.00999999
vbl_ssh_allreg_sep.60488,1.99000001
vbl_ssh_allreg_sep.60489,2.04999995
vbl_ssh_allreg_sep.60490,2.08999991
vbl_ssh_allreg_sep.60491,2.1099999
vbl_ssh_allreg_sep.60492,2.1500001
vbl_ssh_allreg_sep.60493,2.16000009
vbl_ssh_allreg_sep.35,2.53999996
vbl_ssh_allreg_sep.60494,2.17000008
